"Student.ID","Enrolled.Student.Count","maxCredits","DegreeObtained","Major","StartingTerm","MostRecentTerm","Cum.UG.Crs.GPA","FirstSemester","AdvancedClasses","ChangedMajor","PrimaryTermCount","TwoMajors"
"8118995","1",56,0,"Cybersecurity Mgt Major",202410,202510,3.67,0,0,1,3,0
"8119708","1",47,0,"BA Major",202410,202510,3.54,0,0,1,3,0
"8119865","1",43,0,"BA Major",202410,202510,3.84,0,0,0,3,0
"8119866","1",53,0,"IS Major",202410,202510,3.68,0,0,1,3,0
"8120083","1",35,0,"BA Major",202410,202510,3.6,0,0,0,3,0
"8121036","1",44,0,"BA Major",202410,202510,3.45,0,0,1,3,0
"8121360","1",70,0,"BA Major",202410,202510,3.59,0,0,0,3,0
"8121637","1",28,0,"Finance",202410,202510,3.47,0,0,1,3,0
"8124223","1",43,0,"BA Major",202410,202510,3.8,0,0,0,3,0
"8124641","1",69,0,"Supply Chain & Operations Mgmt",202310,202510,3.6,0,0,1,5,0
"8125309","1",53,0,"Cybersecurity Mgt Major",202410,202510,4,0,0,1,3,0
"8125971","1",97,0,"CAS",202310,202510,3.9,0,0,1,5,1
"8126128","1",33,0,"BA Major",202310,202320,2.58,0,0,0,2,0
"8128246","1",95,0,"BA Major",202310,202510,4,0,0,1,5,1
"8129036","1",62,0,"BA Major",202310,202510,3.35,0,0,1,5,0
"8129435","1",93,1,"BA Major",202310,202510,3.93,0,0,0,5,0
"8129482","1",77,0,"BA Major",202310,202510,3.58,0,0,0,5,0
"8129662","1",56,0,"BA Major",202310,202510,3.55,0,0,0,5,0
"8130203","1",126,0,"BA Major",202310,202510,3.81,0,0,1,5,1
"8131023","1",65,0,"Finance",202310,202510,3.47,0,0,1,5,0
"8132465","1",79,0,"BA Major",202310,202510,3.69,0,0,1,5,0
"8132721","1",93,0,"BA Major",202310,202510,3.59,0,0,1,5,1
"8132821","1",69,0,"IS Major",202310,202410,3.42,0,0,1,3,0
"8132915","1",78,0,"BA Major",202310,202510,3.18,0,0,0,5,0
"8134173","1",27,0,"BA Major",202310,202320,3.04,0,0,0,2,0
"8134369","1",67,0,"BA Major",202310,202510,3.67,0,0,0,5,0
"8135649","1",52,0,"Marketing",202310,202410,3.35,0,0,1,3,0
"8136759","1",85,0,"CAS",202310,202510,3.72,0,0,0,5,1
"8136901","1",60,0,"BA Major",202310,202510,2.28,0,0,1,5,0
"8137090","1",30,0,"BA Major",202310,202320,2.36,0,0,0,2,0
"8137163","1",72,0,"BA Major",202310,202510,2.88,0,0,0,5,1
"8137508","1",66.5,0,"BA Major",202310,202510,3.57,0,0,0,5,0
"8137586","1",86,0,"Accountancy",202310,202510,3.93,0,0,1,5,0
"8139289","1",81,0,"BA Major",202310,202510,3.6,0,0,1,5,1
"8139377","1",62,0,"CAS",202310,202510,3.09,0,0,1,5,0
"8139622","1",13,0,"BA Major",202310,202310,1.6,0,0,0,1,0
"8140179","1",81,0,"BA Major",202310,202510,3.86,0,0,1,5,0
"8140245","1",85,0,"BA Major",202310,202510,3.4,0,0,1,5,1
"8141118","1",65,0,"Finance",202310,202510,3.7,0,0,1,5,0
"8141468","1",66,0,"BA Major",202310,202510,3.46,0,0,0,5,0
"8141755","1",64,0,"Marketing",202310,202510,3,0,0,1,5,0
"8142155","1",102,0,"BA Major",202310,202510,3.86,0,0,0,5,0
"8142374","1",65,0,"Marketing",202310,202510,2.91,0,0,1,5,0
"8142423","1",87,0,"BA Major",202310,202510,2.97,0,0,0,5,0
"8142526","1",110,0,"BA Major",202310,202510,3.01,0,0,0,5,0
"8142886","1",74,0,"BA Major",202310,202510,3.17,0,0,0,5,0
"8143408","1",74,0,"BA Major",202310,202510,3.93,0,0,1,5,1
"8143418","1",89,0,"BA Major",202310,202420,3.55,0,0,0,4,0
"8143420","1",92,0,"BA Major",202310,202510,3.91,0,0,0,5,1
"8143472","1",58,0,"BA Major",202310,202510,2.78,0,0,0,5,0
"8143654","1",111,0,"CAS",202310,202510,3.99,0,0,1,5,0
"8143798","1",57,0,"BA Major",202310,202510,2.9,0,0,0,5,0
"8143860","1",86,0,"BA Major",202310,202510,2.95,0,0,1,5,1
"8143934","1",86,0,"BA Major",202310,202510,3.4,0,0,0,5,0
"8143936","1",90,0,"BA Major",202310,202510,3.7,0,0,1,5,0
"8144647","1",16,0,"EHS",202310,202320,0.78,0,0,1,2,0
"8144902","1",110,1,"BA Major",202310,202510,3.52,0,0,1,5,1
"8144914","1",92,0,"BA Major",202310,202510,3.82,0,0,1,5,0
"8144976","1",78,0,"IS Major",202310,202510,3.42,0,0,1,5,0
"8144995","1",137,0,"BA Major",202310,202510,3.97,0,0,0,5,0
"8145217","1",61,0,"BA Major",202310,202510,3.12,0,0,1,5,0
"8145325","1",92,0,"BA Major",202310,202510,3.29,0,0,1,5,1
"8145502","1",67,0,"BA Major",202310,202320,3.77,0,0,0,2,0
"8145508","1",64,0,"Supply Chain & Operations Mgmt",202310,202510,3.33,0,0,1,5,0
"8145611","1",83,0,"BA Major",202310,202510,3.94,0,0,0,5,0
"8145766","1",100,0,"BA Major",202310,202510,3.67,0,0,0,5,0
"8145786","1",67,0,"CAS",202310,202510,3.61,0,0,1,5,0
"8146057","1",65,0,"BA Major",202310,202510,3.19,0,0,0,5,0
"8146177","1",9,0,"BA Major",202310,202320,2.42,0,0,0,2,0
"8146225","1",30,0,"BA Major",202410,202510,3.81,0,0,0,3,0
"8146244","1",115,0,"Accountancy",202310,202510,3.95,0,0,1,5,1
"8146525","1",60,0,"BA Major",202310,202510,2.87,0,0,1,5,0
"8146560","1",76,0,"BA Major",202310,202510,3.01,0,0,0,5,0
"8146723","1",57.5,0,"BA Major",202310,202510,2.8,0,0,0,5,0
"8147231","1",98,0,"BA Major",202310,202510,3.78,0,0,1,5,1
"8147335","1",67,0,"BA Major",202310,202510,3.11,0,0,0,5,0
"8147369","1",78,0,"BA Major",202310,202510,3.84,0,0,1,5,0
