"Student.ID","Term.Code","Term.UG.MU.Earned.CrHr","Term.UG.Overall.Earned.CrHr.(MU.and.Non-MU)","Cum.UG.Overall.Earned.CrHr.(MU.and.Non-MU)"
8118379,"202410",15,45,45
8118379,"202420",16,16,61
8118379,"202510",NA,NA,61
8118379,"202515",NA,NA,61
8118561,"202410",16,16,16
8118561,"202420",14,14,30
8118561,"202510",NA,NA,30
8118561,"202515",NA,NA,30
8119708,"202330",3,3,3
8119708,"202410",15,24,27
8119708,"202420",15,15,42
8119708,"202430",0,5,NA
8119708,"202510",NA,NA,47
8119708,"202515",NA,NA,47
8119865,"202410",17,26,26
8119865,"202420",17,17,43
8119865,"202510",NA,NA,43
8120083,"202410",17,20,20
8120083,"202420",15,15,35
8120083,"202510",NA,NA,35
8120083,"202515",NA,NA,35
8120083,"202520",NA,NA,35
8121036,"202410",16,28,28
8121036,"202420",16,16,44
8121036,"202510",NA,NA,44
8121036,"202515",NA,NA,44
8121360,"202410",15,55,55
8121360,"202420",15,15,70
8121360,"202510",NA,NA,70
8121360,"202515",NA,NA,70
8121637,"202410",15,15,15
8121637,"202420",13,13,28
8121637,"202510",NA,NA,28
8121637,"202520",NA,NA,28
8124223,"202410",17,26,26
8124223,"202420",17,17,43
8124223,"202510",NA,NA,43
8124223,"202520",NA,NA,43
8124641,"202310",15,21,21
8124641,"202320",15,15,36
8124641,"202410",15,15,51
8124641,"202420",15,15,66
8124641,"202510",3,3,69
8124641,"202515",NA,NA,69
8125971,"202310",14,50,50
8125971,"202320",14,14,64
8125971,"202410",15,15,79
8125971,"202415",6,6,85
8125971,"202420",12,12,97
8125971,"202510",NA,NA,97
8125971,"202515",NA,NA,97
8125971,"202520",NA,NA,97
8126128,"202310",15,24,24
8126128,"202320",9,9,33
8128246,"202310",17,45,45
8128246,"202320",16,16,61
8128246,"202410",17,17,78
8128246,"202420",17,17,95
8128246,"202510",NA,NA,95
8129036,"202310",12,21,21
8129036,"202320",11,11,32
8129036,"202410",12,12,44
8129036,"202415",6,6,50
8129036,"202420",12,12,62
8129036,"202510",NA,NA,62
8129435,"202230",4,4,4
8129435,"202310",16,34,38
8129435,"202320",15,15,53
8129435,"202330",4,4,57
8129435,"202410",15,15,72
8129435,"202420",15,15,87
8129435,"202430",6,6,93
8129435,"202510",NA,NA,93
8129435,"202515",NA,NA,93
8129482,"202310",17,29,29
8129482,"202320",17,17,46
8129482,"202410",15,15,61
8129482,"202420",16,16,77
8129482,"202510",0,0,77
8129662,"202310",15,15,15
8129662,"202320",12,12,27
8129662,"202410",14,14,41
8129662,"202420",15,15,56
8129662,"202510",NA,NA,56
8130203,"202310",15,79,79
8130203,"202320",16,16,95
8130203,"202410",15,15,110
8130203,"202420",0,16,126
8130203,"202510",NA,NA,126
8131023,"202310",15,15,15
8131023,"202320",16,16,31
8131023,"202410",12,12,43
8131023,"202420",15,15,58
8131023,"202430",7,7,65
8131023,"202510",NA,NA,65
8132465,"202230",4,4,4
8132465,"202310",16,28,32
8132465,"202320",17,17,49
8132465,"202410",15,15,64
8132465,"202420",15,15,79
8132465,"202510",NA,NA,79
8132721,"202310",17,51,51
8132721,"202320",15,15,66
8132721,"202330",3,3,69
8132721,"202410",12,12,81
8132721,"202420",12,12,93
8132721,"202510",NA,NA,93
8132821,"202310",15,39,39
8132821,"202320",15,15,54
8132821,"202410",15,15,69
8132915,"202310",15,33,33
8132915,"202320",15,15,48
8132915,"202410",16,16,64
8132915,"202420",14,14,78
8132915,"202510",NA,NA,78
8134173,"202310",15,15,15
8134173,"202320",12,12,27
8134369,"202310",16,16,16
8134369,"202320",19,19,35
8134369,"202410",17,17,52
8134369,"202420",15,15,67
8134369,"202430",0,0,67
8134369,"202510",NA,NA,67
8135649,"202230",4,4,4
8135649,"202310",16,16,20
8135649,"202320",17,17,37
8135649,"202410",15,15,52
8136759,"202310",17,36,36
8136759,"202320",19,19,55
8136759,"202410",15,15,70
8136759,"202420",15,15,85
8136759,"202510",NA,NA,85
8136759,"202515",NA,NA,85
8136759,"202520",NA,NA,85
8136901,"202310",15,19,19
8136901,"202320",14,14,33
8136901,"202410",12,12,45
8136901,"202420",15,15,60
8136901,"202510",NA,NA,60
8137090,"202310",15,15,15
8137090,"202320",15,15,30
8137163,"202310",15,28,28
8137163,"202320",14,14,42
8137163,"202410",15,15,57
8137163,"202420",15,15,72
8137163,"202510",NA,NA,72
8137508,"202310",15,15,15
8137508,"202320",14,14,29
8137508,"202330",0,3.5,32.5
8137508,"202410",16,16,48.5
8137508,"202415",3,3,51.5
8137508,"202420",15,15,66.5
8137508,"202510",NA,NA,66.5
8137508,"202515",NA,NA,66.5
8137508,"202520",NA,NA,66.5
8137586,"202310",15,41,41
8137586,"202320",15,15,56
8137586,"202410",15,15,71
8137586,"202420",15,15,86
8137586,"202510",NA,NA,86
8139289,"202310",15,32,32
8139289,"202320",18,18,50
8139289,"202410",16,16,66
8139289,"202420",15,15,81
8139289,"202430",0,0,81
8139289,"202510",NA,NA,81
8139377,"202310",16,16,16
8139377,"202320",15,15,31
8139377,"202410",16,16,47
8139377,"202420",15,15,62
8139377,"202510",NA,NA,62
8139377,"202515",NA,NA,62
8139377,"202520",NA,NA,62
8139622,"202310",13,13,13
8140179,"202310",14,31,31
8140179,"202315",3,3,34
8140179,"202320",14,14,48
8140179,"202410",15,15,63
8140179,"202415",3,3,66
8140179,"202420",15,15,81
8140179,"202510",NA,NA,81
8140245,"202310",16,35,35
8140245,"202320",17,17,52
8140245,"202410",15,15,67
8140245,"202415",3,3,70
8140245,"202420",15,15,85
8140245,"202510",NA,NA,85
8140245,"202520",NA,NA,85
8141118,"202310",15,18,18
8141118,"202320",15,15,33
8141118,"202410",15,15,48
8141118,"202420",17,17,65
8141118,"202510",NA,NA,65
8141468,"202310",15,15,15
8141468,"202320",14,14,29
8141468,"202410",16,16,45
8141468,"202415",6,6,51
8141468,"202420",15,15,66
8141468,"202510",NA,NA,66
8141468,"202520",NA,NA,66
8141755,"202310",17,17,17
8141755,"202320",14,14,31
8141755,"202410",18,18,49
8141755,"202420",15,15,64
8141755,"202510",NA,NA,64
8142155,"202310",17,56,56
8142155,"202320",16,16,72
8142155,"202410",15,15,87
8142155,"202420",15,15,102
8142155,"202510",NA,NA,102
8142374,"202310",15,21,21
8142374,"202320",13,13,34
8142374,"202410",15,15,49
8142374,"202420",16,16,65
8142374,"202510",NA,NA,65
8142423,"202310",15,30,30
8142423,"202315",4,4,34
8142423,"202320",15,15,49
8142423,"202410",18,18,67
8142423,"202420",17,17,84
8142423,"202430",0,3,NA
8142423,"202510",NA,NA,87
8142423,"202520",NA,NA,87
8142526,"202310",13,74,74
8142526,"202320",12,12,86
8142526,"202410",12,12,98
8142526,"202420",12,12,110
8142526,"202510",NA,NA,110
8142886,"202310",16,28,28
8142886,"202320",15,15,43
8142886,"202410",16,16,59
8142886,"202420",15,15,74
8142886,"202510",NA,NA,74
8142886,"202515",NA,NA,74
8143408,"202310",17,23,23
8143408,"202315",3,3,26
8143408,"202320",17,17,43
8143408,"202410",16,16,59
8143408,"202420",15,15,74
8143408,"202510",NA,NA,74
8143408,"202515",NA,NA,74
8143418,"202310",15,47,47
8143418,"202320",12,12,59
8143418,"202330",0,0,59
8143418,"202410",15,15,74
8143418,"202420",15,15,89
8143420,"202310",16,39,39
8143420,"202320",18,18,57
8143420,"202410",20,20,77
8143420,"202420",0,15,92
8143420,"202510",NA,NA,92
8143472,"202310",15,15,15
8143472,"202320",16,16,31
8143472,"202410",15,15,46
8143472,"202420",12,12,58
8143472,"202510",NA,NA,58
8143654,"202310",15,55,55
8143654,"202315",3,3,58
8143654,"202320",16,16,74
8143654,"202410",17,17,91
8143654,"202415",0,3,94
8143654,"202420",17,17,111
8143654,"202510",NA,NA,111
8143798,"202310",15,15,15
8143798,"202320",15,15,30
8143798,"202410",15,15,45
8143798,"202420",12,12,57
8143798,"202510",NA,NA,57
8143860,"202310",17,38,38
8143860,"202320",15,15,53
8143860,"202410",15,15,68
8143860,"202420",18,18,86
8143860,"202510",NA,NA,86
8143934,"202310",16,40,40
8143934,"202320",15,15,55
8143934,"202410",16,16,71
8143934,"202420",15,15,86
8143934,"202510",NA,NA,86
8143936,"202310",16,48,48
8143936,"202320",15,15,63
8143936,"202410",15,15,78
8143936,"202420",12,12,90
8143936,"202510",NA,NA,90
8144647,"202310",4,4,4
8144647,"202315",3,3,7
8144647,"202320",9,9,16
8144902,"202310",16,62,62
8144902,"202320",15,15,77
8144902,"202410",15,15,92
8144902,"202415",3,3,95
8144902,"202420",15,15,110
8144902,"202510",NA,NA,110
8144914,"202310",16,50,50
8144914,"202320",15,15,65
8144914,"202410",12,12,77
8144914,"202420",15,15,92
8144914,"202510",NA,NA,92
8144995,"202310",17,67,67
8144995,"202315",3,3,70
8144995,"202320",20,20,90
8144995,"202410",20,20,110
8144995,"202415",6,6,116
8144995,"202420",18,18,134
8144995,"202430",3,3,137
8144995,"202510",NA,NA,137
8144995,"202515",NA,NA,137
8145217,"202310",13,13,13
8145217,"202320",17,17,30
8145217,"202410",15,15,45
8145217,"202420",16,16,61
8145217,"202510",NA,NA,61
8145217,"202515",NA,NA,61
8145325,"202310",15,47,47
8145325,"202320",15,15,62
8145325,"202410",15,15,77
8145325,"202420",15,15,92
8145325,"202510",NA,NA,92
8145502,"202310",16,53,53
8145502,"202320",14,14,67
8145508,"202310",16,16,16
8145508,"202320",15,15,31
8145508,"202410",16,16,47
8145508,"202420",15,15,62
8145508,"202510",2,2,64
8145611,"202310",15,36,36
8145611,"202320",16,16,52
8145611,"202410",16,16,68
8145611,"202420",15,15,83
8145611,"202510",NA,NA,83
8145611,"202515",NA,NA,83
8145766,"202310",15,57,57
8145766,"202320",15,15,72
8145766,"202410",16,16,88
8145766,"202420",12,12,100
8145766,"202510",NA,NA,100
8145786,"202310",13,19,19
8145786,"202320",13,13,32
8145786,"202410",19,19,51
8145786,"202420",16,16,67
8145786,"202510",NA,NA,67
8146057,"202310",17,20,20
8146057,"202320",15,15,35
8146057,"202410",15,15,50
8146057,"202420",15,15,65
8146057,"202510",NA,NA,65
8146177,"202310",0,0,0
8146177,"202320",9,9,9
8146177,"202330",0,0,9
8146225,"202410",15,15,15
8146225,"202420",15,15,30
8146225,"202510",NA,NA,30
8146244,"202310",15,60,60
8146244,"202320",18,18,78
8146244,"202410",18,18,96
8146244,"202420",19,19,115
8146244,"202510",NA,NA,115
8146244,"202515",NA,NA,115
8146525,"202310",15,15,15
8146525,"202320",15,15,30
8146525,"202410",15,15,45
8146525,"202420",15,15,60
8146525,"202510",NA,NA,60
8146560,"202310",15,34,34
8146560,"202320",15,15,49
8146560,"202410",12,12,61
8146560,"202420",15,15,76
8146560,"202510",NA,NA,76
8146723,"202310",13,13,13
8146723,"202320",14,14,27
8146723,"202410",15.5,15.5,42.5
8146723,"202420",15,15,57.5
8146723,"202510",NA,NA,57.5
8147231,"202310",16,53,53
8147231,"202320",15,15,68
8147231,"202410",15,15,83
8147231,"202420",15,15,98
8147231,"202510",NA,NA,98
8147335,"202310",16,25,25
8147335,"202320",17,17,42
8147335,"202410",12,12,54
8147335,"202420",13,13,67
8147335,"202510",NA,NA,67
8147369,"202310",15,32,32
8147369,"202320",16,16,48
8147369,"202410",15,15,63
8147369,"202420",15,15,78
8147369,"202510",NA,NA,78
8147431,"202310",16,47,47
8147431,"202315",6,6,53
8147431,"202320",18,18,71
8147431,"202410",17,17,88
8147431,"202415",3,3,91
8147431,"202420",15,15,106
8147431,"202510",NA,NA,106
8147431,"202520",NA,NA,106
8147458,"202310",15,27,27
8147458,"202320",16,16,43
8147458,"202410",16,16,59
8147458,"202420",15,15,74
8147458,"202510",NA,NA,74
8147889,"202310",15,55,55
8147889,"202315",6,6,61
8147889,"202320",15,15,76
8147889,"202330",6,6,82
8147889,"202410",15,15,97
8147889,"202415",3,3,100
8147889,"202420",15,15,115
